Pathway	DA_score	Increase_members_num	Decrease_members_num	Measured_members_num	Increase_member_result	Decrease_member_result	Measure_member_result	KEGG_pathwayid	Pathway Category
Drug metabolism - cytochrome P450	0.0476190476190476	5	2	63	FMO5;FMO4;MGST3;ALDH3A1;AOX1	HPGDS;UGT2B28	CYP2D6;CYP2C9;CYP3A4;FMO1;FMO2;FMO5;FMO3;FMO4;CYP2C19;CYP2B6;CYP3A5;GSTA5;GSTA2;GSTA4;GSTO2;GSTM4;GSTM3;MGST1;MGST3;GSTM1;GSTM5;MGST2;GSTA1;GSTM2;GSTA3;GSTO1;GSTT2B;GSTP1;GSTK1;HPGDS;ADH1A;ADH1B;ADH1C;ADH7;ADH4;ADH5;ADH6;ALDH3B1;ALDH3B2;ALDH3A1;MAOB;MAOA;AOX1;UGT2A1;UGT2A3;UGT2B17;UGT2B11;UGT2B28;UGT1A6;UGT1A4;UGT1A1;UGT2B10;UGT2B7;UGT1A10;UGT2B15;UGT1A7;UGT2B4;UGT2A2;CYP1A2;CYP2E1;CYP2C8;CYP2A6;CYP2A7	hsa00982	Xenobiotics biodegradation and metabolism
Glutathione metabolism	0.0491803278688525	5	2	61	OPLAH;MGST3;IDH2;GPX1;C00025	GCLC;HPGDS	GGT7;GGT6;GGT1;GGT5;GGCT;CHAC1;CHAC2;OPLAH;GCLC;GCLM;GSS;LAP3;ANPEP;GSTA5;GSTA2;GSTA4;GSTO2;GSTM4;GSTM3;MGST1;MGST3;GSTM1;GSTM5;MGST2;GSTA1;GSTM2;GSTA3;GSTO1;GSTT2B;GSTP1;GSTK1;HPGDS;LANCL1;NAT8;GSR;IDH1;IDH2;PGD;G6PD;TXNDC12;GPX4;GPX6;GPX7;GPX2;GPX3;GPX1;GPX5;GPX8;PRDX6;ODC1;SRM;SMS;RRM1;RRM2B;RRM2;C00006;C00025;C00037;C00051;C00134;C01879	hsa00480	Metabolism of other amino acids
Arginine and proline metabolism	0.0545454545454545	6	3	55	GAMT;AOC1;ALDH2;ALDH3A2;P4HA3;C00025	ARG2;ALDH18A1;C00791	GATM;GAMT;CKM;CKMT1A;CKMT2;CKB;CKMT1B;AGMAT;ODC1;SRM;SMS;AMD1;AOC1;SMOX;ALDH2;ALDH3A2;ALDH1B1;ALDH7A1;ALDH9A1;CNDP1;CNDP2;CARNS1;SAT2;SAT1;MAOB;MAOA;NOS1;NOS2;NOS3;ARG2;ARG1;OAT;PYCR2;PYCR1;PRODH;ALDH4A1;ALDH18A1;LAP3;P4HA2;P4HA3;P4HA1;PRODH2;GOT1;GOT1L1;GOT2;HOGA1;DAO;L3HYPDH;C00025;C00134;C00213;C00300;C00334;C00791;C02305	hsa00330	Amino acid metabolism
One carbon pool by folate	0.0555555555555556	2	1	18	SHMT1;AMT	MTFMT	DHFR;MTHFD1L;MTHFD1;MTHFD2;MTHFD2L;SHMT2;SHMT1;GART;ATIC;FTCD;MTFMT;AMT;MTR;TYMS;ALDH1L1;ALDH1L2;MTHFR;MTHFS	hsa00670	Metabolism of cofactors and vitamins
Arachidonic acid metabolism	0.0727272727272727	9	5	55	PLA2G2C;PLA2G4B;PLA2G4D;CBR3;PTGDS;PTGR1;CYP4F3;ALOX12B;ALOX15B	PLA2G12A;PLA2G6;PTGS1;HPGDS;LTA4H	PLA2G10;PLA2G2D;PLA2G2E;PLA2G3;PLA2G2F;PLA2G12A;PLA2G12B;PLA2G1B;PLA2G5;PLA2G2A;PLA2G2C;PLA2G4E;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D;PLA2G4F;PLA2G6;PLB1;PTGS1;PTGS2;PTGES;PTGES2;PTGES3;CBR1;CBR3;HPGD;TBXAS1;PTGDS;HPGDS;AKR1C3;PTGIS;ALOX5;LTA4H;PTGR2;PTGR1;CYP4F2;CYP4F3;GGT1;GGT5;GPX4;CYP2E1;CYP2J2;CYP2U1;CYP2C19;CYP4F8;ALOX12;ALOXE3;ALOX12B;ALOX15B;CYP2B6;CYP2C8;CYP2C9;EPHX2;ALOX15	hsa00590	Lipid metabolism
Pyruvate metabolism	0.0816326530612245	6	2	49	ACYP1;ALDH2;ALDH3A2;HAGH;MDH2;ACAT2	PKLR;C00074	ACSS1;ACSS2;PDHA2;PDHA1;PDHB;DLAT;DLD;ADH1A;ADH1B;ADH1C;ADH7;ADH4;ADH6;ADH5;AKR1A1;PKM;PKLR;ACACA;ACACB;ACYP2;ACYP1;ALDH2;ALDH3A2;ALDH1B1;ALDH7A1;ALDH9A1;ACOT12;LDHAL6A;LDHAL6B;LDHA;LDHB;LDHC;LDHD;GLO1;HAGH;GRHPR;ME2;ME3;ME1;PC;MDH1;MDH2;FH;PCK1;PCK2;ACAT2;ACAT1;C00074;C00149	hsa00620	Carbohydrate metabolism
D-Amino acid metabolism	0.0833333333333333	2	1	12	C00025;C00065	GLS	GLS2;GLS;DDO;SRR;DAO;C00025;C00026;C00037;C00065;C00073;C00134;C00188	hsa00470	Metabolism of other amino acids
alpha-Linolenic acid metabolism	0.0869565217391304	4	2	23	PLA2G2C;PLA2G4B;PLA2G4D;ACOX3	PLA2G12A;PLA2G6	PLA2G10;PLA2G2D;PLA2G2E;PLA2G3;PLA2G2F;PLA2G12A;PLA2G12B;PLA2G1B;PLA2G5;PLA2G2A;PLA2G2C;PLA2G4E;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D;PLA2G4F;PLA2G6;PLB1;FADS2;ACOX3;ACOX1;ACAA1	hsa00592	Lipid metabolism
Metabolism of xenobiotics by cytochrome P450	0.0882352941176471	8	2	68	CYP1B1;MGST3;EPHX1;HSD11B1;CBR3;AKR7A2;AKR7A3;ALDH3A1	HPGDS;UGT2B28	CYP1A1;CYP2C9;CYP3A4;CYP1B1;GSTA5;GSTA2;GSTA4;GSTO2;GSTM4;GSTM3;MGST1;MGST3;GSTM1;GSTM5;MGST2;GSTA1;GSTM2;GSTA3;GSTO1;GSTT2B;GSTP1;GSTK1;HPGDS;EPHX1;CYP2B6;SULT2A1;CYP1A2;CYP2A6;CYP2A7;CYP2E1;CYP2F1;CYP2S1;AKR1C1;DHDH;CYP2A13;CYP2D6;HSD11B1;HSD11B1L;CBR1;CBR3;UGT2A1;UGT2A3;UGT2B17;UGT2B11;UGT2B28;UGT1A6;UGT1A4;UGT1A1;UGT2B10;UGT2B7;UGT1A10;UGT2B15;UGT1A7;UGT2B4;UGT2A2;CYP3A5;AKR7A2;AKR7A3;ALDH3B1;ALDH3B2;ALDH3A1;ADH1A;ADH1B;ADH1C;ADH7;ADH4;ADH5;ADH6	hsa00980	Xenobiotics biodegradation and metabolism
Pentose and glucuronate interconversions	0.0909090909090909	5	2	33	GUSB;UGDH;CRYL1;RPE;C00191	UGT2B28;SORD	GUSB;KL;UGT2A1;UGT2A3;UGT2B17;UGT2B11;UGT2B28;UGT1A6;UGT1A4;UGT1A1;UGT2B10;UGT2B7;UGT1A10;UGT2B15;UGT1A7;UGT2B4;UGT2A2;UGDH;UGP2;AKR1A1;CRYL1;RPE;XYLB;AKR1B1;AKR1B10;DCXR;SORD;DHDH;FGGY;C00026;C00029;C00111;C00191	hsa00040	Carbohydrate metabolism
Sulfur metabolism	0.0909090909090909	1	0	11	C00065		PAPSS2;PAPSS1;BPNT1;SUOX;ETHE1;MPST;TST;SELENBP1;C00065;C00155;C00245	hsa00920	Energy metabolism
Purine metabolism	0.0977443609022556	20	7	133	NUDT9;NT5C1A;IMPDH1;NUDT16;GDA;GUK1;HDDC2;ADCY1;ADCY2;ADCY4;ADCY5;ADCY9;GUCY1A2;GUCY2D;NPR1;PDE3B;AK2;PDE4C;PDE7A;URAD	ADPRM;ADSL;NT5M;NME7;GMPR;C00366;C01762	NUDT9;ADPRM;NUDT5;PGM1;PGM2;PRPS1L1;PRPS2;PRPS1;PPAT;GART;PFAS;PAICS;ADSL;ATIC;APRT;NT5C2;NT5C1A;NT5C1B;NT5C;NT5M;NT5DC4;NT5E;PNP;LACC1;HPRT1;IMPDH1;IMPDH2;NME6;NME7;NME4;NME1;NME3;NME1-NME2;AK9;ENTPD3;ENTPD8;ENTPD1;CANT1;ENTPD4;ENTPD5;ENTPD6;NUDT16;ITPA;XDH;NUDT2;GMPS;GMPR;GMPR2;GDA;GUK1;RRM1;RRM2B;RRM2;HDDC2;DGUOK;DCK;HDDC3;ADCY1;ADCY2;ADCY3;ADCY4;ADCY5;ADCY6;ADCY7;ADCY8;ADCY9;ADCY10;GUCY1A2;GUCY2C;GUCY2D;GUCY2F;NPR1;NPR2;PDE1A;PDE1B;PDE1C;PDE2A;PDE3A;PDE3B;PDE5A;PDE6A;PDE6B;PDE6C;PDE6D;PDE6G;PDE6H;PDE9A;PDE10A;PDE11A;AMPD2;AMPD3;AMPD1;ADK;ADA;AK7;AK4;AK5;AK2;AK1;AK8;AK3;ENTPD2;NTPCR;ENPP1;ENPP3;PDE4A;PDE4B;PDE4C;PDE4D;PDE7A;PDE7B;PDE8B;PDE8A;FHIT;ENPP4;PAPSS2;PAPSS1;URAD;ALLC;C00020;C00037;C00144;C00147;C00209;C00212;C00262;C00294;C00366;C00385;C00387;C00559;C00575;C01762	hsa00230	Nucleotide metabolism
Steroid hormone biosynthesis	0.105263157894737	8	2	57	STS;SULT2B1;HSD11B1;HSD17B7;HSD17B8;CYP1B1;CYP19A1;COMT	SRD5A1;UGT2B28	CYP11A1;CYP17A1;STS;SULT2B1;CYP21A2;HSD3B1;HSD3B2;SRD5A1;SRD5A2;SRD5A3;AKR1C2;AKR1C3;CYP11B1;CYP11B2;AKR1D1;AKR1C4;HSD11B1;HSD11B1L;HSD11B2;AKR1C1;CYP7B1;SULT1E1;HSD17B1;HSD17B2;HSD17B6;HSD17B7;HSD17B8;HSD17B12;DHRS11;CYP1A1;CYP1A2;CYP3A5;CYP3A7;CYP2E1;CYP3A4;CYP1B1;CYP19A1;CYP7A1;HSD17B11;UGT2A1;UGT2A3;UGT2B17;UGT2B11;UGT2B28;UGT1A6;UGT1A4;UGT1A1;UGT2B10;UGT2B7;UGT1A10;UGT2B15;UGT1A7;UGT2B4;UGT2A2;COMT;LRTOMT;HSD17B3	hsa00140	Lipid metabolism
Citrate cycle (TCA cycle)	0.111111111111111	5	1	36	IDH2;IDH3A;OGDHL;SUCLG2;MDH2	C00074	CS;ACLY;ACO2;ACO1;IDH1;IDH2;IDH3B;IDH3G;IDH3A;OGDHL;OGDH;DLST;DLD;SUCLG1;SUCLG2;SUCLA2;SDHA;SDHB;SDHC;SDHD;FH;MDH1;MDH2;PC;PCK1;PCK2;PDHA2;PDHA1;PDHB;DLAT;C00026;C00074;C00149;C00158;C00311;C00417	hsa00020	Carbohydrate metabolism
Lysine degradation	0.111111111111111	9	2	63	ACAT2;PIPOX;PRDM7;SUV39H1;DOT1L;ALDH2;ALDH3A2;PLOD3;COLGALT1	KMT2A;MECOM	AASS;ALDH7A1;AADAT;DHTKD1;DLST;DLD;GCDH;HADHA;EHHADH;ECHS1;HADH;ACAT2;ACAT1;HYKK;PHYKPL;PIPOX;CAMKMT;KMT2A;KMT2D;KMT2C;KMT2E;SETD1B;SETD1A;SETD7;PRDM9;PRDM7;ASH1L;SMYD2;SMYD3;SMYD1;SUV39H1;SUV39H2;EHMT2;EHMT1;SETDB1;SETDB2;PRDM2;EZH1;EZH2;SETMAR;NSD1;SETD2;DOT1L;PRDM6;MECOM;PRDM16;TMLHE;ALDH2;ALDH3A2;ALDH1B1;ALDH9A1;BBOX1;PLOD1;PLOD2;PLOD3;COLGALT1;COLGALT2;C00026;C00037;C00408;C00487;C00956;C01181	hsa00310	Amino acid metabolism
Fatty acid biosynthesis	0.117647058823529	2	0	17	HSD17B8;ACSL1		ACACA;ACACB;ACSF3;MCAT;FASN;OXSM;CBR4;HSD17B8;MECR;OLAH;ACSL6;ACSL4;ACSL1;ACSL5;ACSL3;ACSBG1;ACSBG2	hsa00061	Lipid metabolism
Ether lipid metabolism	0.119047619047619	9	4	42	PLA2G2C;PLA2G4B;PLA2G4D;LPCAT4;ENPP6;GDPD3;PLD3;PLD4;UGT8	CHPT1;PLA2G12A;PLA2G6;GDPD1	AGPS;CHPT1;CEPT1;PLA2G10;PLA2G2D;PLA2G2E;PLA2G3;PLA2G2F;PLA2G12A;PLA2G12B;PLA2G1B;PLA2G5;PLA2G2A;PLA2G2C;PLA2G4E;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D;PLA2G4F;PLA2G6;PLB1;LPCAT4;ENPP6;ENPP2;GDPD3;GDPD1;TMEM86B;PLD1;PLD2;PLD3;PLD4;UGT8;GAL3ST1;LPCAT2;LPCAT1;PAFAH1B1;PAFAH1B2;PAFAH1B3;PLA2G7;PAFAH2;C00670	hsa00565	Lipid metabolism
Pyrimidine metabolism	0.119402985074627	13	5	67	UCK1;NT5C1A;UPP2;UPP1;CDA;HDDC2;DTYMK;TYMP;TK2;TK1;DPYD;UPB1;C00881	NME7;NT5M;NT5C3A;C00239;C00299	CAD;DHODH;UMPS;CMPK1;CMPK2;NME6;NME7;NME4;NME1;NME3;NME1-NME2;AK9;ENTPD3;ENTPD8;ENTPD1;CANT1;ENTPD4;ENTPD5;ENTPD6;ENPP1;ENPP3;ASMTL;NUDT2;CTPS1;CTPS2;UCK1;UCK2;UCKL1;NT5C2;NT5C1A;NT5C1B;NT5C;NT5M;NT5DC4;NT5E;UPP2;UPP1;NT5C3A;NT5C3B;CDA;RRM1;RRM2B;RRM2;DCTPP1;HDDC2;DCK;DCTD;DTYMK;DUT;TYMP;TK2;TK1;TYMS;DPYD;DPYS;UPB1;C00055;C00099;C00105;C00106;C00178;C00214;C00239;C00299;C00475;C00881;C02642	hsa00240	Nucleotide metabolism
Pantothenate and CoA biosynthesis	0.12	5	2	25	PPCS;DPYD;UPB1;ALDH2;ALDH3A2	BCAT1;C00864	PANK1;PANK3;PANK2;PPCS;PPCDC;ENPP1;ENPP3;COASY;AASDHPPT;VNN1;VNN2;BCAT2;BCAT1;DPYD;DPYS;UPB1;GADL1;CSAD;ALDH2;ALDH3A2;ALDH1B1;C00099;C00106;C00864;C02642	hsa00770	Metabolism of cofactors and vitamins
Glycerophospholipid metabolism	0.129032258064516	18	6	93	AGPAT2;DGKZ;DGKD;DGKG;DGKQ;PLD3;PLD4;LCAT;PLA2G2C;PLA2G4B;PLA2G4D;LPCAT4;PLA2G15;CHKB;PCYT2;CDS1;CDIPT;C00065	GPAM;ADPRM;CHPT1;PLA2G12A;PLA2G6;PEMT	GPD1L;GPD1;GPD2;GPAM;GPAT2;AGPAT1;AGPAT2;AGPAT3;AGPAT4;AGPAT5;LCLAT1;MBOAT1;MBOAT2;GNPAT;ADPRM;LPIN1;LPIN3;LPIN2;DGKZ;DGKD;DGKI;DGKA;DGKE;DGKB;DGKH;DGKG;DGKQ;DGKK;CHPT1;CEPT1;PLD1;PLD2;PLD3;PLD4;LCAT;PLA2G10;PLA2G2D;PLA2G2E;PLA2G3;PLA2G2F;PLA2G12A;PLA2G12B;PLA2G1B;PLA2G5;PLA2G2A;PLA2G2C;PLA2G4E;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D;PLA2G4F;PLA2G6;PLB1;LPCAT2;LPCAT1;LPCAT4;LPCAT3;LYPLA1;PLA2G15;LYPLA2;PNPLA6;PNPLA7;GPCPD1;CHAT;ACHE;CHKA;CHKB;PHOSPHO1;PCYT1B;PCYT1A;ETNK1;ETNK2;PCYT2;ETNPPL;PEMT;CDS1;CDS2;PLA1A;PTDSS1;PTDSS2;PISD;PGS1;CRLS1;LPGAT1;CDIPT;MBOAT7;C00065;C00093;C00111;C00114;C00670;C01996	hsa00564	Lipid metabolism
Tyrosine metabolism	0.131578947368421	6	1	38	IL4I1;HPD;GSTZ1;COMT;ALDH3A1;AOX1	PNMT	GOT1;GOT1L1;GOT2;TAT;IL4I1;HPD;HGD;GSTZ1;FAH;TYR;TH;DCT;TYRP1;DDC;DBH;PNMT;COMT;LRTOMT;MAOB;MAOA;AOC3;AOC2;ALDH3B1;ALDH3B2;ALDH3A1;ADH1A;ADH1B;ADH1C;ADH7;ADH4;ADH5;ADH6;TPO;AOX1;FAHD1;MIF;C00082;C01829	hsa00350	Amino acid metabolism
Ascorbate and aldarate metabolism	0.133333333333333	5	1	30	UGDH;GUSB;ALDH2;ALDH3A2;C00191	UGT2B28	UGDH;UGT2A1;UGT2A3;UGT2B17;UGT2B11;UGT2B28;UGT1A6;UGT1A4;UGT1A1;UGT2B10;UGT2B7;UGT1A10;UGT2B15;UGT1A7;UGT2B4;UGT2A2;GUSB;KL;MIOX;AKR1A1;RGN;ALDH2;ALDH3A2;ALDH1B1;ALDH7A1;ALDH9A1;C00026;C00029;C00137;C00191	hsa00053	Carbohydrate metabolism
Glycosphingolipid biosynthesis - ganglio series	0.133333333333333	3	1	15	SLC33A1;GLB1;HEXB	ST3GAL2	B4GALNT1;B3GALT4;ST3GAL2;ST3GAL1;ST8SIA5;ST3GAL5;ST8SIA1;SLC33A1;ST6GALNAC3;ST6GALNAC4;ST6GALNAC5;ST6GALNAC6;GLB1;HEXA;HEXB	hsa00604	Glycan biosynthesis and metabolism
Sphingolipid metabolism	0.137254901960784	11	4	51	SMPD1;SMPD3;GBA;GBA2;B4GALT5;GLB1;UGT8;ARSA;NEU1;HEXB;C00065	SGMS1;SGPP1;B4GALT6;NEU3	SPTLC1;SPTLC2;SPTLC3;KDSR;CERS1;CERS2;CERS4;CERS3;CERS6;CERS5;ASAH1;ASAH2;ACER2;ACER1;ACER3;DEGS1;DEGS2;SGMS1;SGMS2;SMPD1;SMPD2;SMPD3;SMPD4;ENPP7;CERK;SGPP1;SGPP2;SPHK1;SPHK2;SGPL1;UGCG;GBA;GBA2;B4GALT6;B4GALT5;GLB1;UGT8;GALC;GAL3ST1;ARSA;NEU1;NEU3;NEU4;NEU2;GLA;B4GALNT1;HEXA;HEXB;PSAP;PSAPL1;C00065	hsa00600	Lipid metabolism
Other types of O-glycan biosynthesis	0.13953488372093	10	4	43	EOGT;RFNG;ST3GAL3;COLGALT1;PLOD3;POMT1;POMT2;GALNT13;GALNT16;C1GALT1C1	GXYLT1;GALNT2;GALNT4;C1GALT1	OGT;EOGT;POFUT1;POFUT2;MFNG;LFNG;RFNG;B4GALT1;B4GALT2;B4GALT3;ST6GAL1;ST6GAL2;ST3GAL3;POGLUT1;GXYLT1;GXYLT2;XXYLT1;COLGALT1;COLGALT2;PLOD3;POMT1;POMT2;GALNTL6;GALNT5;GALNT11;GALNT12;GALNT13;GALNT14;GALNT16;GALNT15;GALNT18;GALNTL5;GALNT10;GALNT2;GALNT3;GALNT1;GALNT6;GALNT4;GALNT9;GALNT7;GALNT8;C1GALT1;C1GALT1C1	hsa00514	Glycan biosynthesis and metabolism
Starch and sucrose metabolism	0.142857142857143	5	0	35	GAA;GANC;GYG1;AMY2B;HK3		MGAM;GAA;GANC;SI;UGP2;ENPP1;ENPP3;GYS2;GYS1;GYG1;GYG2;GBE1;PYGL;PYGM;PYGB;AGL;AMY1C;AMY2A;AMY1A;AMY2B;AMY1B;TREH;PGM1;PGM2;HK3;HK1;HK2;HKDC1;GCK;G6PC2;G6PC3;PGM2L1;GPI;C00029;C00089	hsa00500	Carbohydrate metabolism
